Belgium,Belgium Jupiler League,,2008/2009,43,56
Netherlands,Netherlands Eredivisie,,2008/2009,27,27
Poland,Poland Ekstraklasa,,2015/2016,21,19
Portugal,Portugal Liga ZON Sagres,,2011/2012,13,19
Portugal,Portugal Liga ZON Sagres,,2015/2016,34,43
Portugal,Portugal Liga ZON Sagres,,2010/2011,18,24
Portugal,Portugal Liga ZON Sagres,,2008/2009,30,36
Switzerland,Switzerland Super League,,2015/2016,25,31
Germany,Germany 1. Bundesliga,1. FC Kaiserslautern,2011/2012,12,28
Germany,Germany 1. Bundesliga,1. FC Kaiserslautern,2010/2011,25,19
Germany,Germany 1. Bundesliga,1. FC Köln,2011/2012,20,29
Germany,Germany 1. Bundesliga,1. FC Köln,2009/2010,18,29
Germany,Germany 1. Bundesliga,1. FC Köln,2008/2009,14,25
Germany,Germany 1. Bundesliga,1. FC Köln,2014/2015,18,17
Germany,Germany 1. Bundesliga,1. FC Köln,2015/2016,16,18
Germany,Germany 1. Bundesliga,1. FC Köln,2010/2011,30,21
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2012/2013,24,19
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2011/2012,22,25
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2013/2014,16,32
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2010/2011,28,19
Germany,Germany 1. Bundesliga,1. FC Nürnberg,2009/2010,18,23
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2014/2015,27,19
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2009/2010,22,14
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2012/2013,22,19
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2015/2016,23,18
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2013/2014,28,17
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2010/2011,22,16
Germany,Germany 1. Bundesliga,1. FSV Mainz 05,2011/2012,27,26
Scotland,Scotland Premier League,Aberdeen,2014/2015,32,15
Scotland,Scotland Premier League,Aberdeen,2012/2013,18,15
Scotland,Scotland Premier League,Aberdeen,2011/2012,22,16
Scotland,Scotland Premier League,Aberdeen,2013/2014,20,13
Scotland,Scotland Premier League,Aberdeen,2015/2016,30,19
Scotland,Scotland Premier League,Aberdeen,2010/2011,22,21
Scotland,Scotland Premier League,Aberdeen,2009/2010,20,31
Scotland,Scotland Premier League,Aberdeen,2008/2009,22,17
France,France Ligue 1,AC Ajaccio,2013/2014,23,33
France,France Ligue 1,AC Ajaccio,2011/2012,22,24
France,France Ligue 1,AC Ajaccio,2012/2013,19,20
France,France Ligue 1,AC Arles-Avignon,2010/2011,14,31
Switzerland,Switzerland Super League,AC Bellinzona,2009/2010,24,40
Switzerland,Switzerland Super League,AC Bellinzona,2010/2011,21,34
Switzerland,Switzerland Super League,AC Bellinzona,2008/2009,29,23
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2009/2010,20,20
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2013/2014,13,16
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2015/2016,20,28
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2010/2011,16,17
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2012/2013,22,27
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2011/2012,11,12
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2014/2015,16,23
Portugal,Portugal Liga ZON Sagres,Académica de Coimbra,2008/2009,18,13
Netherlands,Netherlands Eredivisie,ADO Den Haag,2015/2016,20,22
Netherlands,Netherlands Eredivisie,ADO Den Haag,2012/2013,25,28
Netherlands,Netherlands Eredivisie,ADO Den Haag,2010/2011,36,25
Netherlands,Netherlands Eredivisie,ADO Den Haag,2009/2010,21,28
Netherlands,Netherlands Eredivisie,ADO Den Haag,2011/2012,22,26
Netherlands,Netherlands Eredivisie,ADO Den Haag,2008/2009,21,18
Netherlands,Netherlands Eredivisie,ADO Den Haag,2014/2015,30,23
Netherlands,Netherlands Eredivisie,ADO Den Haag,2013/2014,29,30
France,France Ligue 1,AJ Auxerre,2011/2012,30,28
France,France Ligue 1,AJ Auxerre,2010/2011,26,18
France,France Ligue 1,AJ Auxerre,2009/2010,24,14
France,France Ligue 1,AJ Auxerre,2008/2009,18,12
Netherlands,Netherlands Eredivisie,Ajax,2015/2016,49,12
Netherlands,Netherlands Eredivisie,Ajax,2008/2009,41,9
Netherlands,Netherlands Eredivisie,Ajax,2013/2014,42,9
Netherlands,Netherlands Eredivisie,Ajax,2014/2015,37,11
Netherlands,Netherlands Eredivisie,Ajax,2010/2011,38,9
Netherlands,Netherlands Eredivisie,Ajax,2009/2010,64,4
Netherlands,Netherlands Eredivisie,Ajax,2012/2013,40,10
Netherlands,Netherlands Eredivisie,Ajax,2011/2012,49,14
France,France Ligue 1,Angers SCO,2015/2016,20,15
Poland,Poland Ekstraklasa,Arka Gdynia,2009/2010,14,17
Poland,Poland Ekstraklasa,Arka Gdynia,2010/2011,19,19
Poland,Poland Ekstraklasa,Arka Gdynia,2008/2009,19,17
England,England Premier League,Arsenal,2015/2016,31,11
England,England Premier League,Arsenal,2014/2015,41,14
England,England Premier League,Arsenal,2010/2011,33,15
England,England Premier League,Arsenal,2012/2013,47,23
England,England Premier League,Arsenal,2011/2012,39,17
England,England Premier League,Arsenal,2013/2014,36,11
England,England Premier League,Arsenal,2008/2009,31,16
England,England Premier League,Arsenal,2009/2010,48,15
France,France Ligue 1,AS Monaco,2009/2010,26,14
France,France Ligue 1,AS Monaco,2014/2015,23,10
France,France Ligue 1,AS Monaco,2013/2014,32,14
France,France Ligue 1,AS Monaco,2015/2016,30,19
France,France Ligue 1,AS Monaco,2008/2009,26,23
France,France Ligue 1,AS Monaco,2010/2011,16,17
France,France Ligue 1,AS Nancy-Lorraine,2011/2012,24,24
France,France Ligue 1,AS Nancy-Lorraine,2012/2013,17,26
France,France Ligue 1,AS Nancy-Lorraine,2009/2010,20,26
France,France Ligue 1,AS Nancy-Lorraine,2010/2011,23,21
France,France Ligue 1,AS Nancy-Lorraine,2008/2009,19,19
France,France Ligue 1,AS Saint-Étienne,2012/2013,36,13
France,France Ligue 1,AS Saint-Étienne,2013/2014,36,15
France,France Ligue 1,AS Saint-Étienne,2008/2009,25,23
France,France Ligue 1,AS Saint-Étienne,2014/2015,32,11
France,France Ligue 1,AS Saint-Étienne,2015/2016,25,15
France,France Ligue 1,AS Saint-Étienne,2011/2012,27,20
France,France Ligue 1,AS Saint-Étienne,2010/2011,29,25
France,France Ligue 1,AS Saint-Étienne,2009/2010,13,16
England,England Premier League,Aston Villa,2012/2013,23,28
England,England Premier League,Aston Villa,2010/2011,26,19
England,England Premier League,Aston Villa,2011/2012,20,25
England,England Premier League,Aston Villa,2008/2009,27,21
England,England Premier League,Aston Villa,2014/2015,18,25
England,England Premier League,Aston Villa,2013/2014,22,29
England,England Premier League,Aston Villa,2009/2010,29,16
England,England Premier League,Aston Villa,2015/2016,14,35
Italy,Italy Serie A,Atalanta,2014/2015,22,33
Italy,Italy Serie A,Atalanta,2008/2009,28,17
Italy,Italy Serie A,Atalanta,2012/2013,19,24
Italy,Italy Serie A,Atalanta,2009/2010,24,20
Italy,Italy Serie A,Atalanta,2011/2012,22,14
Italy,Italy Serie A,Atalanta,2015/2016,27,21
Italy,Italy Serie A,Atalanta,2013/2014,28,22
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2008/2009,28,29
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2010/2011,32,20
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2012/2013,22,27
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2014/2015,28,20
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2015/2016,35,17
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2009/2010,34,24
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2013/2014,42,18
Spain,Spain LIGA BBVA,Athletic Club de Bilbao,2011/2012,29,21
Spain,Spain LIGA BBVA,Atlético Madrid,2008/2009,47,23
Spain,Spain LIGA BBVA,Atlético Madrid,2013/2014,49,10
Spain,Spain LIGA BBVA,Atlético Madrid,2015/2016,33,7
Spain,Spain LIGA BBVA,Atlético Madrid,2009/2010,37,24
Spain,Spain LIGA BBVA,Atlético Madrid,2014/2015,42,11
Spain,Spain LIGA BBVA,Atlético Madrid,2010/2011,35,20
Spain,Spain LIGA BBVA,Atlético Madrid,2012/2013,42,12
Spain,Spain LIGA BBVA,Atlético Madrid,2011/2012,36,17
Netherlands,Netherlands Eredivisie,AZ,2009/2010,33,16
Netherlands,Netherlands Eredivisie,AZ,2010/2011,37,20
Netherlands,Netherlands Eredivisie,AZ,2015/2016,38,24
Netherlands,Netherlands Eredivisie,AZ,2014/2015,30,27
Netherlands,Netherlands Eredivisie,AZ,2013/2014,36,18
Netherlands,Netherlands Eredivisie,AZ,2008/2009,38,7
Netherlands,Netherlands Eredivisie,AZ,2012/2013,29,23
Netherlands,Netherlands Eredivisie,AZ,2011/2012,38,10
Italy,Italy Serie A,Bari,2009/2010,30,15
Italy,Italy Serie A,Bari,2010/2011,12,28
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2011/2012,28,24
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2012/2013,36,15
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2014/2015,39,15
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2015/2016,31,17
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2010/2011,33,24
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2013/2014,35,22
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2008/2009,31,22
Germany,Germany 1. Bundesliga,Bayer 04 Leverkusen,2009/2010,37,14
Belgium,Belgium Jupiler League,Beerschot AC,2011/2012,26,13
Belgium,Belgium Jupiler League,Beerschot AC,2012/2013,20,34
Belgium,Belgium Jupiler League,Beerschot AC,2008/2009,32,19
Belgium,Belgium Jupiler League,Beerschot AC,2010/2011,14,10
Belgium,Belgium Jupiler League,Beerschot AC,2009/2010,20,22
England,England Premier League,Birmingham City,2010/2011,19,22
England,England Premier League,Birmingham City,2009/2010,19,13
England,England Premier League,Blackburn Rovers,2011/2012,26,33
England,England Premier League,Blackburn Rovers,2008/2009,22,23
England,England Premier League,Blackburn Rovers,2010/2011,22,16
England,England Premier League,Blackburn Rovers,2009/2010,28,18
England,England Premier League,Blackpool,2010/2011,30,37
Portugal,Portugal Liga ZON Sagres,Boavista FC,2015/2016,10,17
Portugal,Portugal Liga ZON Sagres,Boavista FC,2014/2015,20,19
Italy,Italy Serie A,Bologna,2015/2016,20,21
Italy,Italy Serie A,Bologna,2013/2014,15,27
Italy,Italy Serie A,Bologna,2012/2013,30,24
Italy,Italy Serie A,Bologna,2011/2012,21,23
Italy,Italy Serie A,Bologna,2010/2011,17,20
Italy,Italy Serie A,Bologna,2008/2009,27,31
Italy,Italy Serie A,Bologna,2009/2010,25,27
England,England Premier League,Bolton Wanderers,2008/2009,21,21
England,England Premier League,Bolton Wanderers,2010/2011,34,24
England,England Premier League,Bolton Wanderers,2011/2012,23,39
England,England Premier League,Bolton Wanderers,2009/2010,26,31
Germany,Germany 1. Bundesliga,Borussia Dortmund,2009/2010,29,14
Germany,Germany 1. Bundesliga,Borussia Dortmund,2014/2015,26,15
Germany,Germany 1. Bundesliga,Borussia Dortmund,2015/2016,49,14
Germany,Germany 1. Bundesliga,Borussia Dortmund,2008/2009,34,11
Germany,Germany 1. Bundesliga,Borussia Dortmund,2011/2012,44,12
Germany,Germany 1. Bundesliga,Borussia Dortmund,2012/2013,40,19
Germany,Germany 1. Bundesliga,Borussia Dortmund,2013/2014,41,19
Germany,Germany 1. Bundesliga,Borussia Dortmund,2010/2011,35,8
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2011/2012,29,10
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2009/2010,25,22
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2013/2014,38,17
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2008/2009,23,27
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2014/2015,32,14
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2015/2016,42,18
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2012/2013,27,20
Germany,Germany 1. Bundesliga,Borussia Mönchengladbach,2010/2011,26,31
England,England Premier League,Bournemouth,2015/2016,23,34
Italy,Italy Serie A,Brescia,2010/2011,22,24
Switzerland,Switzerland Super League,BSC Young Boys,2011/2012,32,21
Switzerland,Switzerland Super League,BSC Young Boys,2012/2013,34,19
Switzerland,Switzerland Super League,BSC Young Boys,2014/2015,42,21
Switzerland,Switzerland Super League,BSC Young Boys,2013/2014,32,25
Switzerland,Switzerland Super League,BSC Young Boys,2010/2011,35,23
Switzerland,Switzerland Super League,BSC Young Boys,2008/2009,53,20
Switzerland,Switzerland Super League,BSC Young Boys,2009/2010,41,13
Switzerland,Switzerland Super League,BSC Young Boys,2015/2016,50,24
England,England Premier League,Burnley,2009/2010,25,30
England,England Premier League,Burnley,2014/2015,14,21
Spain,Spain LIGA BBVA,CA Osasuna,2012/2013,15,14
Spain,Spain LIGA BBVA,CA Osasuna,2009/2010,21,16
Spain,Spain LIGA BBVA,CA Osasuna,2008/2009,27,22
Spain,Spain LIGA BBVA,CA Osasuna,2013/2014,20,25
Spain,Spain LIGA BBVA,CA Osasuna,2010/2011,28,14
Spain,Spain LIGA BBVA,CA Osasuna,2011/2012,26,19
Italy,Italy Serie A,Cagliari,2010/2011,27,23
Italy,Italy Serie A,Cagliari,2012/2013,24,24
Italy,Italy Serie A,Cagliari,2014/2015,24,36
Italy,Italy Serie A,Cagliari,2011/2012,21,16
Italy,Italy Serie A,Cagliari,2009/2010,37,29
Italy,Italy Serie A,Cagliari,2008/2009,24,12
Italy,Italy Serie A,Cagliari,2013/2014,24,27
England,England Premier League,Cardiff City,2013/2014,20,35
Italy,Italy Serie A,Carpi,2015/2016,23,26
Italy,Italy Serie A,Catania,2009/2010,25,15
Italy,Italy Serie A,Catania,2010/2011,27,19
Italy,Italy Serie A,Catania,2008/2009,24,22
Italy,Italy Serie A,Catania,2013/2014,25,25
Italy,Italy Serie A,Catania,2012/2013,31,15
Italy,Italy Serie A,Catania,2011/2012,23,15
Portugal,Portugal Liga ZON Sagres,CD Nacional,2014/2015,27,12
Portugal,Portugal Liga ZON Sagres,CD Nacional,2008/2009,24,14
Portugal,Portugal Liga ZON Sagres,CD Nacional,2013/2014,23,14
Portugal,Portugal Liga ZON Sagres,CD Nacional,2010/2011,14,12
Portugal,Portugal Liga ZON Sagres,CD Nacional,2015/2016,29,24
Portugal,Portugal Liga ZON Sagres,CD Nacional,2011/2012,24,23
Portugal,Portugal Liga ZON Sagres,CD Nacional,2012/2013,26,25
Portugal,Portugal Liga ZON Sagres,CD Nacional,2009/2010,20,16
Spain,Spain LIGA BBVA,CD Numancia,2008/2009,23,22
Spain,Spain LIGA BBVA,CD Tenerife,2009/2010,26,29
Scotland,Scotland Premier League,Celtic,2013/2014,50,10
Scotland,Scotland Premier League,Celtic,2012/2013,52,14
Scotland,Scotland Premier League,Celtic,2009/2010,42,14
Scotland,Scotland Premier League,Celtic,2015/2016,55,12
Scotland,Scotland Premier League,Celtic,2010/2011,51,11
Scotland,Scotland Premier League,Celtic,2014/2015,50,8
Scotland,Scotland Premier League,Celtic,2008/2009,48,13
Scotland,Scotland Premier League,Celtic,2011/2012,41,6
Italy,Italy Serie A,Cesena,2014/2015,19,31
Italy,Italy Serie A,Cesena,2010/2011,17,21
Italy,Italy Serie A,Cesena,2011/2012,15,22
Portugal,Portugal Liga ZON Sagres,CF Os Belenenses,2013/2014,14,15
Portugal,Portugal Liga ZON Sagres,CF Os Belenenses,2009/2010,12,28
Portugal,Portugal Liga ZON Sagres,CF Os Belenenses,2014/2015,17,17
Portugal,Portugal Liga ZON Sagres,CF Os Belenenses,2015/2016,24,31
Portugal,Portugal Liga ZON Sagres,CF Os Belenenses,2008/2009,16,25
England,England Premier League,Chelsea,2009/2010,68,14
England,England Premier League,Chelsea,2008/2009,33,12
England,England Premier League,Chelsea,2015/2016,32,30
England,England Premier League,Chelsea,2011/2012,41,24
England,England Premier League,Chelsea,2012/2013,41,16
England,England Premier League,Chelsea,2013/2014,43,11
England,England Premier League,Chelsea,2010/2011,39,13
England,England Premier League,Chelsea,2014/2015,36,9
Italy,Italy Serie A,Chievo Verona,2009/2010,20,21
Italy,Italy Serie A,Chievo Verona,2010/2011,15,13
Italy,Italy Serie A,Chievo Verona,2013/2014,19,22
Italy,Italy Serie A,Chievo Verona,2014/2015,16,19
Italy,Italy Serie A,Chievo Verona,2008/2009,15,23
Italy,Italy Serie A,Chievo Verona,2011/2012,16,15
Italy,Italy Serie A,Chievo Verona,2012/2013,18,16
Italy,Italy Serie A,Chievo Verona,2015/2016,25,18
Belgium,Belgium Jupiler League,Club Brugge KV,2011/2012,30,10
Belgium,Belgium Jupiler League,Club Brugge KV,2015/2016,42,9
Belgium,Belgium Jupiler League,Club Brugge KV,2008/2009,37,23
Belgium,Belgium Jupiler League,Club Brugge KV,2012/2013,29,13
Belgium,Belgium Jupiler League,Club Brugge KV,2009/2010,24,12
Belgium,Belgium Jupiler League,Club Brugge KV,2014/2015,37,11
Belgium,Belgium Jupiler League,Club Brugge KV,2010/2011,36,17
Spain,Spain LIGA BBVA,Córdoba CF,2014/2015,12,33
Poland,Poland Ekstraklasa,Cracovia,2015/2016,34,19
Poland,Poland Ekstraklasa,Cracovia,2010/2011,30,21
Poland,Poland Ekstraklasa,Cracovia,2009/2010,18,23
Poland,Poland Ekstraklasa,Cracovia,2008/2009,12,8
Poland,Poland Ekstraklasa,Cracovia,2011/2012,10,20
Poland,Poland Ekstraklasa,Cracovia,2013/2014,19,22
Poland,Poland Ekstraklasa,Cracovia,2014/2015,21,17
England,England Premier League,Crystal Palace,2015/2016,19,23
England,England Premier League,Crystal Palace,2013/2014,18,23
England,England Premier League,Crystal Palace,2014/2015,21,27
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2009/2010,22,20
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2008/2009,21,19
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2011/2012,22,18
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2012/2013,14,14
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2015/2016,25,23
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2010/2011,14,14
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2013/2014,26,20
Portugal,Portugal Liga ZON Sagres,CS Marítimo,2014/2015,27,17
Netherlands,Netherlands Eredivisie,De Graafschap,2008/2009,17,28
Netherlands,Netherlands Eredivisie,De Graafschap,2010/2011,22,22
Netherlands,Netherlands Eredivisie,De Graafschap,2011/2012,19,38
Netherlands,Netherlands Eredivisie,De Graafschap,2015/2016,23,29
France,France Ligue 1,Dijon FCO,2011/2012,23,26
Germany,Germany 1. Bundesliga,DSC Arminia Bielefeld,2008/2009,16,26
Scotland,Scotland Premier League,Dundee FC,2014/2015,25,27
Scotland,Scotland Premier League,Dundee FC,2012/2013,17,34
Scotland,Scotland Premier League,Dundee FC,2015/2016,30,23
Scotland,Scotland Premier League,Dundee United,2013/2014,40,23
Scotland,Scotland Premier League,Dundee United,2008/2009,25,24
Scotland,Scotland Premier League,Dundee United,2014/2015,32,20
Scotland,Scotland Premier League,Dundee United,2015/2016,22,35
Scotland,Scotland Premier League,Dundee United,2010/2011,34,22
Scotland,Scotland Premier League,Dundee United,2012/2013,30,33
Scotland,Scotland Premier League,Dundee United,2009/2010,22,21
Scotland,Scotland Premier League,Dundee United,2011/2012,27,16
Scotland,Scotland Premier League,Dunfermline Athletic,2011/2012,22,44
Germany,Germany 1. Bundesliga,Eintracht Braunschweig,2013/2014,18,24
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2013/2014,22,24
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2009/2010,25,26
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2015/2016,22,24
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2014/2015,36,26
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2010/2011,13,24
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2008/2009,26,29
Germany,Germany 1. Bundesliga,Eintracht Frankfurt,2012/2013,32,23
Spain,Spain LIGA BBVA,Elche CF,2014/2015,19,31
Spain,Spain LIGA BBVA,Elche CF,2013/2014,13,12
Italy,Italy Serie A,Empoli,2015/2016,22,20
Italy,Italy Serie A,Empoli,2014/2015,26,22
France,France Ligue 1,En Avant de Guingamp,2015/2016,31,28
France,France Ligue 1,En Avant de Guingamp,2013/2014,21,16
France,France Ligue 1,En Avant de Guingamp,2014/2015,23,25
France,France Ligue 1,ES Troyes AC,2012/2013,25,24
France,France Ligue 1,ES Troyes AC,2015/2016,13,36
Portugal,Portugal Liga ZON Sagres,Estoril Praia,2015/2016,24,16
Portugal,Portugal Liga ZON Sagres,Estoril Praia,2013/2014,19,14
Portugal,Portugal Liga ZON Sagres,Estoril Praia,2014/2015,22,24
Portugal,Portugal Liga ZON Sagres,Estoril Praia,2012/2013,31,18
England,England Premier League,Everton,2014/2015,27,21
England,England Premier League,Everton,2010/2011,31,23
England,England Premier League,Everton,2011/2012,28,15
England,England Premier League,Everton,2012/2013,33,17
England,England Premier League,Everton,2013/2014,38,19
England,England Premier League,Everton,2009/2010,35,21
England,England Premier League,Everton,2015/2016,35,30
England,England Premier League,Everton,2008/2009,31,20
France,France Ligue 1,Évian Thonon Gaillard FC,2011/2012,29,29
France,France Ligue 1,Évian Thonon Gaillard FC,2012/2013,31,25
France,France Ligue 1,Évian Thonon Gaillard FC,2014/2015,20,25
France,France Ligue 1,Évian Thonon Gaillard FC,2013/2014,25,24
Netherlands,Netherlands Eredivisie,Excelsior,2014/2015,26,37
Netherlands,Netherlands Eredivisie,Excelsior,2015/2016,21,31
Netherlands,Netherlands Eredivisie,Excelsior,2010/2011,28,30
Netherlands,Netherlands Eredivisie,Excelsior,2011/2012,15,29
Scotland,Scotland Premier League,Falkirk,2008/2009,19,20
Scotland,Scotland Premier League,Falkirk,2009/2010,17,29
Switzerland,Switzerland Super League,FC Aarau,2008/2009,20,15
Switzerland,Switzerland Super League,FC Aarau,2014/2015,17,30
Switzerland,Switzerland Super League,FC Aarau,2009/2010,18,41
Switzerland,Switzerland Super League,FC Aarau,2013/2014,34,33
Portugal,Portugal Liga ZON Sagres,FC Arouca,2013/2014,12,18
Portugal,Portugal Liga ZON Sagres,FC Arouca,2015/2016,28,18
Portugal,Portugal Liga ZON Sagres,FC Arouca,2014/2015,16,26
Germany,Germany 1. Bundesliga,FC Augsburg,2015/2016,18,27
Germany,Germany 1. Bundesliga,FC Augsburg,2012/2013,19,22
Germany,Germany 1. Bundesliga,FC Augsburg,2013/2014,27,22
Germany,Germany 1. Bundesliga,FC Augsburg,2011/2012,20,19
Germany,Germany 1. Bundesliga,FC Augsburg,2014/2015,28,21
Spain,Spain LIGA BBVA,FC Barcelona,2010/2011,46,10
Spain,Spain LIGA BBVA,FC Barcelona,2013/2014,64,15
Spain,Spain LIGA BBVA,FC Barcelona,2014/2015,64,11
Spain,Spain LIGA BBVA,FC Barcelona,2009/2010,57,11
Spain,Spain LIGA BBVA,FC Barcelona,2015/2016,67,14
Spain,Spain LIGA BBVA,FC Barcelona,2008/2009,61,14
Spain,Spain LIGA BBVA,FC Barcelona,2012/2013,63,15
Spain,Spain LIGA BBVA,FC Barcelona,2011/2012,73,11
Switzerland,Switzerland Super League,FC Basel,2010/2011,43,20
Switzerland,Switzerland Super League,FC Basel,2011/2012,44,15
Switzerland,Switzerland Super League,FC Basel,2012/2013,36,10
Switzerland,Switzerland Super League,FC Basel,2013/2014,41,18
Switzerland,Switzerland Super League,FC Basel,2015/2016,44,15
Switzerland,Switzerland Super League,FC Basel,2014/2015,43,15
Switzerland,Switzerland Super League,FC Basel,2008/2009,39,15
Switzerland,Switzerland Super League,FC Basel,2009/2010,54,18
Germany,Germany 1. Bundesliga,FC Bayern Munich,2010/2011,48,13
Germany,Germany 1. Bundesliga,FC Bayern Munich,2011/2012,49,6
Germany,Germany 1. Bundesliga,FC Bayern Munich,2012/2013,56,11
Germany,Germany 1. Bundesliga,FC Bayern Munich,2015/2016,51,8
Germany,Germany 1. Bundesliga,FC Bayern Munich,2014/2015,46,7
Germany,Germany 1. Bundesliga,FC Bayern Munich,2008/2009,45,23
Germany,Germany 1. Bundesliga,FC Bayern Munich,2013/2014,48,15
Germany,Germany 1. Bundesliga,FC Bayern Munich,2009/2010,39,13
Netherlands,Netherlands Eredivisie,FC Dordrecht,2014/2015,15,34
Germany,Germany 1. Bundesliga,FC Energie Cottbus,2008/2009,19,27
Netherlands,Netherlands Eredivisie,FC Groningen,2012/2013,20,25
Netherlands,Netherlands Eredivisie,FC Groningen,2015/2016,25,19
Netherlands,Netherlands Eredivisie,FC Groningen,2011/2012,29,23
Netherlands,Netherlands Eredivisie,FC Groningen,2013/2014,31,20
Netherlands,Netherlands Eredivisie,FC Groningen,2009/2010,25,15
Netherlands,Netherlands Eredivisie,FC Groningen,2008/2009,32,14
Netherlands,Netherlands Eredivisie,FC Groningen,2010/2011,37,20
Netherlands,Netherlands Eredivisie,FC Groningen,2014/2015,26,18
Germany,Germany 1. Bundesliga,FC Ingolstadt 04,2015/2016,22,18
Switzerland,Switzerland Super League,FC Lausanne-Sports,2011/2012,15,19
Switzerland,Switzerland Super League,FC Lausanne-Sports,2013/2014,13,28
Switzerland,Switzerland Super League,FC Lausanne-Sports,2012/2013,24,23
France,France Ligue 1,FC Lorient,2012/2013,38,25
France,France Ligue 1,FC Lorient,2010/2011,27,13
France,France Ligue 1,FC Lorient,2013/2014,29,25
France,France Ligue 1,FC Lorient,2009/2010,36,19
France,France Ligue 1,FC Lorient,2015/2016,26,21
France,France Ligue 1,FC Lorient,2014/2015,17,17
France,France Ligue 1,FC Lorient,2008/2009,21,20
France,France Ligue 1,FC Lorient,2011/2012,20,14
Switzerland,Switzerland Super League,FC Luzern,2012/2013,18,19
Switzerland,Switzerland Super League,FC Luzern,2008/2009,30,27
Switzerland,Switzerland Super League,FC Luzern,2015/2016,36,23
Switzerland,Switzerland Super League,FC Luzern,2011/2012,26,14
Switzerland,Switzerland Super League,FC Luzern,2013/2014,26,22
Switzerland,Switzerland Super League,FC Luzern,2014/2015,25,19
Switzerland,Switzerland Super League,FC Luzern,2010/2011,32,25
Switzerland,Switzerland Super League,FC Luzern,2009/2010,46,23
France,France Ligue 1,FC Metz,2014/2015,26,32
France,France Ligue 1,FC Nantes,2008/2009,21,25
France,France Ligue 1,FC Nantes,2013/2014,21,19
France,France Ligue 1,FC Nantes,2014/2015,17,17
France,France Ligue 1,FC Nantes,2015/2016,20,20
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2015/2016,24,22
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2008/2009,22,16
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2014/2015,28,20
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2012/2013,20,13
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2011/2012,20,26
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2009/2010,17,18
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2013/2014,15,29
Portugal,Portugal Liga ZON Sagres,FC Paços de Ferreira,2010/2011,20,23
